[mut 400K rep1] equilibrating 100 ps at 400.0 K...
[mut 400K rep1] production 100.0 ns (50000000 steps)...
#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
22.6%,11300000,-583827.6939480486,398.79335562484994,692,2:41:20
22.7%,11350000,-581066.3905356368,400.86681314879064,692,2:41:08
22.8%,11400000,-582516.5244388757,397.96381145180777,692,2:40:55
22.9%,11450000,-582013.737794484,401.0874727941724,692,2:40:43
23.0%,11500000,-582298.7216131822,401.0535389310766,692,2:40:31
23.1%,11550000,-583159.8851061524,401.68700088728525,692,2:40:18
23.2%,11600000,-580372.1226268727,399.78222779097666,692,2:40:06
23.3%,11650000,-582330.2646260187,400.9797171101728,692,2:39:54
23.4%,11700000,-582254.9843436377,401.7601511937478,692,2:39:41
23.5%,11750000,-581578.8146397015,397.9737946331671,692,2:39:29
23.6%,11800000,-582322.2728380999,398.44757045525586,692,2:39:17
23.7%,11850000,-582370.3917715498,398.94189461924566,692,2:39:04
23.8%,11900000,-581995.129031592,400.8584863697196,692,2:38:52
23.9%,11950000,-581981.4257409777,398.90312585217316,692,2:38:39
24.0%,12000000,-582541.6626919247,398.21800205162066,692,2:38:27
24.1%,12050000,-580927.9829948694,401.43003469444864,692,2:38:14
24.2%,12100000,-581806.6621151296,401.8753830718596,692,2:38:02
24.3%,12150000,-583945.4133504429,401.23802633189183,692,2:37:50
24.4%,12200000,-583734.824337976,397.80797533381747,692,2:37:38
24.5%,12250000,-582673.9449621281,400.03977596299563,692,2:37:25
24.6%,12300000,-581446.8208462456,402.7874339859118,692,2:37:13
24.7%,12350000,-582472.3692070576,403.32724206138624,692,2:37:00
24.8%,12400000,-581811.180155382,400.9577809717599,691,2:36:48
24.9%,12450000,-582000.8767953678,404.63024868311135,691,2:36:36
25.0%,12500000,-582904.6856264248,402.73702563519157,691,2:36:23
25.1%,12550000,-582047.762452696,403.0802142822796,691,2:36:11
25.2%,12600000,-583452.297954903,399.0111053743198,691,2:35:58
25.3%,12650000,-582071.0281587774,402.559208611159,691,2:35:46
25.4%,12700000,-580267.044922566,400.6892647305345,691,2:35:33
25.5%,12750000,-582903.4611648475,402.02239996685523,691,2:35:21
25.6%,12800000,-584008.1657596277,397.15938191886687,691,2:35:09
25.7%,12850000,-583492.0152420346,400.0178398245827,691,2:34:56
25.8%,12900000,-581220.645674902,399.5200237854986,691,2:34:43
25.9%,12950000,-582334.8057480874,400.686175764105,691,2:34:31
26.0%,13000000,-581676.7049287097,400.99654973883247,691,2:34:18
26.1%,13050000,-581284.1572757456,397.2030303575455,691,2:34:06
26.2%,13100000,-581960.772822299,397.77028098985085,691,2:33:53
26.3%,13150000,-581959.6204651836,404.0543131306997,691,2:33:41
26.4%,13200000,-582124.7448603981,398.9398800759221,691,2:33:28
26.5%,13250000,-582822.5092356675,399.8363518549382,692,2:33:15
26.6%,13300000,-581229.5096982135,402.3821974044559,691,2:33:03
26.7%,13350000,-581222.6541507519,399.1286651691611,691,2:32:51
26.8%,13400000,-580965.4242453715,402.2953482033926,691,2:32:39
26.9%,13450000,-581813.3758472702,402.067570504934,691,2:32:26
27.0%,13500000,-582519.5383659028,399.7223287028207,691,2:32:14
27.1%,13550000,-581769.1071141022,401.39936886830003,691,2:32:01
27.2%,13600000,-582340.9847942088,400.2162947257752,691,2:31:49
27.3%,13650000,-582836.5662588985,400.0598318609731,691,2:31:37
27.4%,13700000,-582811.0366649451,400.1908219446386,691,2:31:24
27.5%,13750000,-582314.5505969888,396.3868717056981,691,2:31:12
27.6%,13800000,-581295.8155398681,402.27905278628594,691,2:30:59
27.7%,13850000,-581882.067124804,404.10476624904936,691,2:30:47
27.8%,13900000,-580094.0890743788,401.9405647402864,691,2:30:35
27.9%,13950000,-582868.0162578397,401.841046300099,691,2:30:22
28.0%,14000000,-581772.1380088879,401.3104603562838,691,2:30:09
28.1%,14050000,-583147.1433856855,400.51431283478445,691,2:29:57
28.2%,14100000,-581455.8546569371,401.4356306481254,691,2:29:44
28.3%,14150000,-583718.4589061015,399.51823308032203,691,2:29:32
28.4%,14200000,-581190.0216480955,400.98450724652014,691,2:29:19
28.5%,14250000,-582444.7508289232,400.72212417052447,691,2:29:07
28.6%,14300000,-583546.5673073353,400.3591482312354,691,2:28:54
28.7%,14350000,-582658.2221922572,398.34209792035637,691,2:28:42
28.8%,14400000,-582218.2845848892,401.0457493635585,691,2:28:29
28.9%,14450000,-583856.241419848,400.7488056776552,691,2:28:17
29.0%,14500000,-581573.6093006213,401.3613611509275,691,2:28:05
29.1%,14550000,-583301.9262970034,400.97532988249026,691,2:27:52
29.2%,14600000,-580358.4429920767,399.8985788598237,691,2:27:40
29.3%,14650000,-581750.5975044472,400.5776590304053,691,2:27:27
29.4%,14700000,-581864.7002199925,397.2042390835397,691,2:27:15
29.5%,14750000,-581957.9244236904,400.1613648444842,691,2:27:03
29.6%,14800000,-581527.7302872487,398.33336823262067,691,2:26:50
29.7%,14850000,-583942.3933697361,402.69230277340694,691,2:26:37
29.8%,14900000,-582342.7002027142,396.33668719312504,691,2:26:25
29.9%,14950000,-582813.2079129596,398.875325154307,691,2:26:13
30.0%,15000000,-582978.359626398,399.3653068582437,691,2:26:00
30.1%,15050000,-580842.0015025632,398.8101434858802,691,2:25:48
30.2%,15100000,-583157.2336374545,401.46195401422085,691,2:25:35
30.3%,15150000,-581048.9646090474,401.6302803008177,691,2:25:23
30.4%,15200000,-583333.6234056745,400.4451916149692,691,2:25:10
30.5%,15250000,-581213.6543495278,401.9794678102472,691,2:24:58
30.6%,15300000,-582975.7068890617,399.0013012634781,691,2:24:46
30.7%,15350000,-581944.9284636532,398.25475627536963,691,2:24:34
30.8%,15400000,-582605.0299486169,401.08259312256627,691,2:24:21
30.9%,15450000,-581894.8180768318,402.68975101853033,691,2:24:09
31.0%,15500000,-581790.9115063534,402.6713962904706,691,2:23:56
31.1%,15550000,-581946.6399088781,400.03189686021875,691,2:23:44
31.2%,15600000,-582519.9001835007,402.096221787759,691,2:23:31
31.3%,15650000,-583836.2653808729,403.6503748104968,691,2:23:19
31.4%,15700000,-581674.4008159954,401.06495467657714,691,2:23:06
31.5%,15750000,-582158.4690788775,400.8304618337064,691,2:22:53
31.6%,15800000,-581555.901540502,398.3104024387312,691,2:22:41
31.7%,15850000,-582973.2474835673,399.40112096177495,691,2:22:29
31.8%,15900000,-582686.7382074492,399.61609511822115,691,2:22:16
31.9%,15950000,-581058.999881811,400.578599150623,691,2:22:03
32.0%,16000000,-583568.8360488662,402.0306372106674,691,2:21:51
